time,store,total_sek,member,age
2021-01-02T07:09:16+00:00,store3,184,False,na
2021-01-02T07:14:49+00:00,store4,378,False,na
2021-01-02T07:15:18+00:00,store2,145,False,na
2021-01-02T07:17:12+00:00,store2,50,False,na
2021-01-02T07:22:46+00:00,store4,50,False,na
2021-01-02T07:23:10+00:00,store3,206,False,na
2021-01-02T07:26:21+00:00,store2,224,False,na
2021-01-02T07:29:59+00:00,store1,50,False,na
2021-01-02T07:32:17+00:00,store2,437,False,na
2021-01-02T07:34:03+00:00,store4,585,True,84
2021-01-02T07:34:38+00:00,store4,162,False,na
2021-01-02T07:41:49+00:00,store3,401,False,na
2021-01-02T07:44:45+00:00,store3,548,True,95
2021-01-02T07:46:04+00:00,store1,141,False,na
2021-01-02T07:49:16+00:00,store3,457,True,74
2021-01-02T07:55:05+00:00,store3,234,False,na
2021-01-02T08:08:57+00:00,store2,89,True,71
2021-01-02T08:11:29+00:00,store4,116,True,88
2021-01-02T08:22:09+00:00,store1,115,False,na
2021-01-02T08:54:52+00:00,store2,167,False,na
2021-01-02T08:57:10+00:00,store2,137,True,76
2021-01-02T09:03:21+00:00,store3,243,True,68
2021-01-02T09:08:04+00:00,store3,50,True,53
2021-01-02T09:10:09+00:00,store1,126,True,91
2021-01-02T09:18:19+00:00,store3,143,True,75
2021-01-02T09:20:24+00:00,store2,177,True,70
2021-01-02T09:24:32+00:00,store3,290,False,na
2021-01-02T09:28:10+00:00,store2,50,True,83
2021-01-02T09:32:34+00:00,store2,288,False,na
2021-01-02T09:44:15+00:00,store4,215,True,94
2021-01-02T09:45:14+00:00,store4,206,False,na
2021-01-02T09:46:23+00:00,store1,50,False,na
2021-01-02T10:00:52+00:00,store4,650,False,na
2021-01-02T10:02:27+00:00,store1,50,False,na
2021-01-02T10:06:16+00:00,store4,469,True,68
2021-01-02T10:09:12+00:00,store1,465,False,na
2021-01-02T10:13:11+00:00,store3,50,True,56
2021-01-02T10:17:45+00:00,store1,146,True,69
2021-01-02T10:23:18+00:00,store4,271,False,na
2021-01-02T10:24:20+00:00,store1,227,False,na
2021-01-02T10:26:42+00:00,store1,50,False,na
2021-01-02T10:35:57+00:00,store4,50,False,na
2021-01-02T10:40:12+00:00,store4,50,False,na
2021-01-02T10:40:19+00:00,store1,420,True,83
2021-01-02T10:42:03+00:00,store2,50,False,na
2021-01-02T10:45:15+00:00,store4,50,False,na
2021-01-02T10:48:57+00:00,store1,353,False,na
2021-01-02T10:55:29+00:00,store3,50,True,68
2021-01-02T10:56:44+00:00,store4,50,True,66
2021-01-02T11:03:27+00:00,store1,692,True,78
2021-01-02T11:07:57+00:00,store1,50,False,na
2021-01-02T11:11:46+00:00,store3,50,True,75
2021-01-02T11:20:21+00:00,store3,119,True,39
2021-01-02T11:20:26+00:00,store4,465,False,na
2021-01-02T11:24:46+00:00,store3,50,False,na
2021-01-02T11:24:58+00:00,store1,318,False,na
2021-01-02T11:25:58+00:00,store1,145,True,88
2021-01-02T11:28:11+00:00,store1,629,False,na
2021-01-02T11:29:09+00:00,store1,179,False,na
2021-01-02T11:31:45+00:00,store2,295,True,66
2021-01-02T11:32:29+00:00,store4,96,False,na
2021-01-02T11:33:29+00:00,store1,375,True,52
2021-01-02T11:38:19+00:00,store4,50,False,na
2021-01-02T11:41:54+00:00,store1,79,False,na
2021-01-02T11:51:27+00:00,store1,121,True,68
2021-01-02T11:51:59+00:00,store4,286,False,na
2021-01-02T11:56:06+00:00,store1,50,True,81
2021-01-02T12:01:40+00:00,store3,105,True,51
2021-01-02T12:09:48+00:00,store3,50,True,78
2021-01-02T12:12:12+00:00,store1,569,True,69
2021-01-02T12:23:48+00:00,store4,226,False,na
2021-01-02T12:24:41+00:00,store4,50,False,na
2021-01-02T12:27:46+00:00,store2,50,True,92
2021-01-02T12:29:06+00:00,store3,243,True,49
2021-01-02T12:29:53+00:00,store2,295,False,na
2021-01-02T12:32:00+00:00,store4,210,False,na
2021-01-02T12:32:05+00:00,store1,50,True,68
2021-01-02T12:34:10+00:00,store2,50,False,na
2021-01-02T12:34:32+00:00,store1,330,False,na
2021-01-02T12:34:45+00:00,store2,402,True,80
2021-01-02T12:35:15+00:00,store4,308,True,63
2021-01-02T12:37:17+00:00,store4,50,False,na
2021-01-02T12:42:03+00:00,store3,50,True,64
2021-01-02T12:43:17+00:00,store1,50,False,na
2021-01-02T12:56:51+00:00,store3,355,False,na
2021-01-02T13:01:11+00:00,store1,156,False,na
2021-01-02T13:04:55+00:00,store1,460,False,na
2021-01-02T13:09:25+00:00,store2,326,False,na
2021-01-02T13:10:08+00:00,store3,52,False,na
2021-01-02T13:13:10+00:00,store4,388,True,18
2021-01-02T13:19:37+00:00,store1,50,True,72
2021-01-02T13:23:57+00:00,store3,78,False,na
2021-01-02T13:29:41+00:00,store1,97,False,na
2021-01-02T13:31:33+00:00,store3,195,False,na
2021-01-02T13:38:17+00:00,store2,50,False,na
2021-01-02T13:44:18+00:00,store1,107,True,40
2021-01-02T13:44:19+00:00,store1,50,False,na
2021-01-02T13:44:56+00:00,store3,247,False,na
2021-01-02T13:50:07+00:00,store1,96,False,na
2021-01-02T13:51:10+00:00,store2,462,False,na
2021-01-02T13:57:54+00:00,store4,50,False,na
2021-01-02T13:58:31+00:00,store4,50,True,31
2021-01-02T14:03:36+00:00,store2,454,False,na
2021-01-02T14:10:59+00:00,store4,255,True,87
2021-01-02T14:14:27+00:00,store1,367,True,74
2021-01-02T14:15:21+00:00,store4,333,True,81
2021-01-02T14:18:50+00:00,store3,281,True,66
2021-01-02T14:23:17+00:00,store1,506,True,67
2021-01-02T14:26:35+00:00,store1,438,False,na
2021-01-02T14:29:24+00:00,store4,280,False,na
2021-01-02T14:34:26+00:00,store3,75,False,na
2021-01-02T14:37:44+00:00,store1,50,False,na
2021-01-02T14:40:40+00:00,store4,351,True,59
2021-01-02T14:42:17+00:00,store1,108,True,37
2021-01-02T14:44:04+00:00,store4,179,False,na
2021-01-02T14:48:41+00:00,store2,221,False,na
2021-01-02T14:50:48+00:00,store3,414,False,na
2021-01-02T14:51:52+00:00,store4,50,False,na
2021-01-02T14:52:27+00:00,store3,247,False,na
2021-01-02T14:56:42+00:00,store2,114,True,57
2021-01-02T15:00:28+00:00,store2,50,True,48
2021-01-02T15:02:15+00:00,store1,69,False,na
2021-01-02T15:02:38+00:00,store2,183,False,na
2021-01-02T15:03:21+00:00,store3,50,True,48
2021-01-02T15:06:19+00:00,store1,424,False,na
2021-01-02T15:08:30+00:00,store4,393,False,na
2021-01-02T15:15:47+00:00,store4,50,False,na
2021-01-02T15:16:57+00:00,store1,464,False,na
2021-01-02T15:17:35+00:00,store4,183,False,na
2021-01-02T15:19:23+00:00,store2,280,False,na
2021-01-02T15:22:10+00:00,store1,346,False,na
2021-01-02T15:24:20+00:00,store1,571,True,60
2021-01-02T15:25:39+00:00,store4,194,False,na
2021-01-02T15:28:35+00:00,store2,259,False,na
2021-01-02T15:29:33+00:00,store3,551,False,na
2021-01-02T15:35:07+00:00,store4,260,False,na
2021-01-02T15:39:30+00:00,store2,413,False,na
2021-01-02T15:43:51+00:00,store3,266,True,45
2021-01-02T15:45:14+00:00,store2,50,False,na
2021-01-02T15:46:21+00:00,store3,312,False,na
2021-01-02T15:48:12+00:00,store1,494,False,na
2021-01-02T15:49:21+00:00,store1,50,False,na
2021-01-02T15:59:52+00:00,store4,340,True,59
2021-01-02T16:01:49+00:00,store4,158,False,na
2021-01-02T16:01:51+00:00,store1,50,True,84
2021-01-02T16:05:12+00:00,store1,351,False,na
2021-01-02T16:08:42+00:00,store4,221,True,36
2021-01-02T16:19:44+00:00,store1,50,False,na
2021-01-02T16:20:28+00:00,store4,50,True,20
2021-01-02T16:20:32+00:00,store4,71,False,na
2021-01-02T16:24:15+00:00,store1,455,False,na
2021-01-02T16:24:46+00:00,store2,426,False,na
2021-01-02T16:26:01+00:00,store3,357,True,68
2021-01-02T16:35:22+00:00,store4,50,True,63
2021-01-02T16:35:51+00:00,store3,272,True,50
2021-01-02T16:39:49+00:00,store1,256,False,na
2021-01-02T16:43:06+00:00,store1,50,False,na
2021-01-02T16:53:00+00:00,store4,290,True,28
2021-01-02T16:56:01+00:00,store4,303,False,na
2021-01-02T16:58:03+00:00,store3,117,False,na
2021-01-02T17:09:37+00:00,store2,276,False,na
2021-01-02T17:10:30+00:00,store2,313,False,na
2021-01-02T17:16:24+00:00,store4,295,False,na
2021-01-02T17:24:35+00:00,store4,50,True,31
2021-01-02T17:24:58+00:00,store4,222,False,na
2021-01-02T17:25:28+00:00,store2,50,True,35
2021-01-02T17:26:28+00:00,store3,379,False,na
2021-01-02T17:27:08+00:00,store1,237,False,na
2021-01-02T17:36:39+00:00,store4,191,False,na
2021-01-02T17:43:24+00:00,store4,50,True,33
2021-01-02T17:49:09+00:00,store4,463,False,na
2021-01-02T17:55:48+00:00,store3,334,False,na
2021-01-02T18:02:20+00:00,store4,438,False,na
2021-01-02T18:02:53+00:00,store4,503,True,80
2021-01-02T18:08:54+00:00,store3,566,True,39
2021-01-02T18:11:06+00:00,store1,399,False,na
2021-01-02T18:14:01+00:00,store1,50,True,53
2021-01-02T18:17:50+00:00,store2,50,True,56
2021-01-02T18:33:34+00:00,store1,50,False,na
2021-01-02T18:47:16+00:00,store1,50,False,na
2021-01-02T18:50:15+00:00,store3,608,False,na
2021-01-02T18:52:09+00:00,store2,190,False,na
2021-01-02T18:52:16+00:00,store3,534,False,na
2021-01-02T19:02:37+00:00,store4,50,False,na
2021-01-02T19:06:48+00:00,store4,398,False,na
2021-01-02T19:07:30+00:00,store4,177,False,na
2021-01-02T19:12:48+00:00,store2,294,False,na
2021-01-02T19:15:46+00:00,store1,104,True,30
2021-01-02T19:19:09+00:00,store4,476,False,na
2021-01-02T19:20:34+00:00,store2,254,False,na
2021-01-02T19:21:19+00:00,store2,382,False,na
2021-01-02T19:26:57+00:00,store3,50,True,36
2021-01-02T19:27:40+00:00,store4,319,False,na
2021-01-02T19:28:13+00:00,store3,243,True,48
2021-01-02T19:28:25+00:00,store3,74,True,76
2021-01-02T19:31:47+00:00,store2,189,False,na
2021-01-02T19:32:45+00:00,store2,50,False,na
2021-01-02T19:34:29+00:00,store4,285,False,na
2021-01-02T19:38:46+00:00,store2,362,False,na
2021-01-02T19:39:17+00:00,store1,50,False,na
2021-01-02T19:44:45+00:00,store3,50,False,na
2021-01-02T20:07:23+00:00,store1,50,True,50
2021-01-02T20:18:21+00:00,store1,305,False,na
2021-01-02T20:42:06+00:00,store4,249,True,57
2021-01-02T20:48:48+00:00,store4,138,False,na
2021-01-02T20:52:04+00:00,store2,360,True,82
2021-01-02T20:58:08+00:00,store1,260,False,na
2021-01-02T21:06:36+00:00,store4,740,True,45
2021-01-02T21:18:30+00:00,store1,50,True,27
2021-01-02T21:32:33+00:00,store2,137,False,na
2021-01-02T21:32:48+00:00,store1,643,False,na
2021-01-02T21:33:57+00:00,store2,80,False,na
2021-01-02T21:38:16+00:00,store2,358,False,na
2021-01-02T21:47:25+00:00,store3,253,False,na
2021-01-02T22:05:34+00:00,store3,203,False,na
2021-01-02T22:11:43+00:00,store2,116,True,47
2021-01-02T22:13:29+00:00,store2,183,False,na
2021-01-02T22:29:28+00:00,store4,167,False,na
2021-01-02T22:29:41+00:00,store2,152,True,54
2021-01-02T22:41:59+00:00,store3,195,False,na
2021-01-02T22:48:01+00:00,store2,50,False,na
2021-01-02T22:48:32+00:00,store1,114,True,47
2021-01-02T22:49:11+00:00,store2,50,True,35
2021-01-02T23:00:00+00:00,store4,50,True,36
2021-01-02T23:01:30+00:00,store2,388,True,37
2021-01-02T23:02:56+00:00,store1,50,True,18
2021-01-02T23:06:56+00:00,store4,87,False,na
2021-01-02T23:15:49+00:00,store3,164,False,na
2021-01-02T23:19:55+00:00,store4,96,True,23
2021-01-02T23:27:46+00:00,store3,304,False,na
2021-01-02T23:34:42+00:00,store2,447,True,36
2021-01-02T23:37:27+00:00,store2,50,False,na
2021-01-02T23:38:09+00:00,store1,353,True,32
2021-01-02T23:50:26+00:00,store2,463,False,na
2021-01-02T23:56:38+00:00,store2,51,False,na
2021-01-02T23:59:47+00:00,store4,50,False,na
2021-01-03T07:00:47+00:00,store3,50,False,na
2021-01-03T07:04:00+00:00,store2,65,True,92
2021-01-03T07:04:28+00:00,store2,569,False,na
2021-01-03T07:12:42+00:00,store4,385,False,na
2021-01-03T07:13:11+00:00,store1,245,False,na
2021-01-03T07:13:16+00:00,store2,519,True,87
2021-01-03T07:13:57+00:00,store2,50,True,81
2021-01-03T07:18:43+00:00,store1,146,False,na
2021-01-03T07:18:58+00:00,store1,194,True,43
2021-01-03T07:23:02+00:00,store4,461,True,53
2021-01-03T07:23:08+00:00,store2,594,False,na
2021-01-03T07:23:52+00:00,store3,207,False,na
2021-01-03T07:27:29+00:00,store1,590,False,na
2021-01-03T07:28:36+00:00,store1,119,False,na
2021-01-03T07:30:45+00:00,store1,378,True,91
2021-01-03T07:30:53+00:00,store3,338,True,65
2021-01-03T07:33:45+00:00,store4,200,True,87
2021-01-03T07:35:02+00:00,store4,325,False,na
2021-01-03T07:38:13+00:00,store1,399,False,na
2021-01-03T07:38:18+00:00,store3,238,True,85
2021-01-03T07:40:55+00:00,store2,422,True,84
2021-01-03T07:43:02+00:00,store1,50,False,na
2021-01-03T07:44:35+00:00,store2,193,True,74
2021-01-03T07:44:41+00:00,store2,237,True,88
2021-01-03T07:45:06+00:00,store1,50,False,na
2021-01-03T07:45:57+00:00,store1,201,True,92
2021-01-03T07:46:54+00:00,store2,156,True,69
2021-01-03T07:49:56+00:00,store4,413,True,88
2021-01-03T07:52:39+00:00,store2,50,True,53
2021-01-03T07:53:05+00:00,store3,180,True,74
2021-01-03T07:54:14+00:00,store4,50,False,na
2021-01-03T07:54:50+00:00,store3,421,True,81
2021-01-03T07:56:38+00:00,store2,119,True,71
2021-01-03T07:57:50+00:00,store3,50,False,na
2021-01-03T07:58:29+00:00,store3,316,False,na
2021-01-03T08:02:11+00:00,store2,219,False,na
2021-01-03T08:05:40+00:00,store2,50,True,89
2021-01-03T08:17:04+00:00,store4,415,False,na
2021-01-03T08:17:23+00:00,store4,560,True,63
2021-01-03T08:23:07+00:00,store2,190,False,na
2021-01-03T08:32:05+00:00,store2,84,True,68
2021-01-03T08:33:31+00:00,store1,341,True,77
2021-01-03T08:36:24+00:00,store4,275,False,na
2021-01-03T08:42:19+00:00,store4,316,True,66
2021-01-03T08:43:03+00:00,store2,257,False,na
2021-01-03T08:46:52+00:00,store1,50,False,na
2021-01-03T08:50:32+00:00,store2,124,False,na
2021-01-03T08:55:03+00:00,store2,50,False,na
2021-01-03T09:07:21+00:00,store3,133,True,69
2021-01-03T09:07:30+00:00,store4,238,True,40
2021-01-03T09:08:13+00:00,store3,248,True,87
2021-01-03T09:09:15+00:00,store3,493,True,95
2021-01-03T09:11:02+00:00,store3,296,True,89
2021-01-03T09:11:02+00:00,store4,78,True,90
2021-01-03T09:11:18+00:00,store2,247,False,na
2021-01-03T09:12:10+00:00,store3,119,False,na
2021-01-03T09:14:42+00:00,store4,297,False,na
2021-01-03T09:22:26+00:00,store4,419,False,na
2021-01-03T09:25:56+00:00,store2,246,False,na
2021-01-03T09:26:37+00:00,store3,245,False,na
2021-01-03T09:34:47+00:00,store3,201,True,67
2021-01-03T09:37:38+00:00,store2,242,False,na
